"Reference","Value","Tolerance","Spec","Qty"
"BT1","9V","","","1"
"C1,C2","100pF","1%","ceramic C0G","2"
"C3","100nF","5%","ceramic C0G","1"
"C4,C5","10nF","5%","ceramic C0G","2"
"C6,C8,C9,C10,C11","10uF","20%","electrolytic","5"
"C7","47nF","5%","ceramic C0G","1"
"C12","100nF","5%","ceramic X7R","1"
"D1,D2,D4","1N4148","","","3"
"D3","LED","","","1"
"J1","Eurorack Mono Jack","","","1"
"LS1","Speaker","","","1"
"R1,R3,R8,R12","270k","1%","metal film","4"
"R2,R5,R11","27k","1%","metal film","3"
"R4,R6,R7","22k","1%","metal film","3"
"R9","10r","1%","metal film","1"
"R10","100r","1%","metal film","1"
"R13","1k","1%","metal film","1"
"RV1","10k","","single turn","1"
"RV2","25k","","","1"
"RV3","1k","","","1"
"SW1","SW_SPDT","","","1"
"U1,U2","4069","","","2"
"U3","LM386","","","1"
"U4","LP2950-5.0_TO92","","","1"
